,id,title,price,hood,link,source,amenities,lat,lon,post_body,postdate
0,7443269446,Kettlebells - Weights - Gym Equipment - Fitness - Kettlebell,580.0, (BOLINGBROOK northwest suburbs ),https://chicago.craigslist.org/nwc/spo/d/bolingbrook-kettlebells-weights-gym/7443269446.html,craigslist,"['condition: new', 'delivery available']",41.6976,-88.0873,Brand new set of kettlebells consisting 5lbs-60lbs in 5lbs increments. Total 390lbs. Under $1.49 per lbs. grab while stock lasts. If you want separate kettlebells it will be $1.75 per lbs. Additional equipment available.,2/8/2022 8:07
1,7448823103,40 lb kettlebell brand new,40.0, (Orland park south chicagoland ),https://chicago.craigslist.org/sox/spo/d/orland-park-40-lb-kettlebell-brand-new/7448823103.html,craigslist,"['condition: new', 'make / manufacturer: Cap', 'model name / number: Kettlebell', 'size / dimensions: 40 lb']",41.629531,-87.911655,"40 lb kettlebell
Brand new
40.00 
Mike  show contact info


Also other sizes available 
10,15,20,25,30,35,40",2/21/2022 6:01
2,7449698190,Kettlebell Kings 24KG,120.0, (Chicago city of chicago ),https://chicago.craigslist.org/chc/for/d/chicago-kettlebell-kings-24kg/7449698190.html,craigslist,"['condition: excellent', 'make / manufacturer: Kettlebell King']",41.8093,-87.7052,Kettlebell Kings 24KG,2/22/2022 22:09
3,7442702445,40 lb kettlebell brand new,40.0, (Orland park south chicagoland ),https://chicago.craigslist.org/sox/spo/d/orland-park-40-lb-kettlebell-brand-new/7442702445.html,craigslist,"['condition: new', 'make / manufacturer: Cap', 'model name / number: Kettlebell', 'size / dimensions: 40 lb']",41.629531,-87.911655,"40 lb kettlebell
Brand new
40.00 
Mike  show contact info


Also other sizes available 
10,15,20,25,30,35,40",2/6/2022 19:46
4,7437935783,40 lb kettlebell brand new,40.0, (Orland park south chicagoland ),https://chicago.craigslist.org/sox/spo/d/orland-park-40-lb-kettlebell-brand-new/7437935783.html,craigslist,"['condition: new', 'make / manufacturer: Cap', 'model name / number: Kettlebell', 'size / dimensions: 40 lb']",41.629531,-87.911655,"40 lb kettlebell
Brand new
40.00 
Mike  show contact info


Also other sizes available 
10,15,20,25,30,35,40",1/26/2022 12:52
5,7448581135,12 KG (26.5 lb.) Kettlebell,60.0, (Lincoln Park Chicago city of chicago ),https://chicago.craigslist.org/chc/hab/d/chicago-12-kg-265-lb-kettlebell/7448581135.html,craigslist,"['condition: like new', 'make / manufacturer: ETHOS', 'model name / number: 12 KG']",41.9008,-87.6528,"Ideal for circuit and interval training Great for full body sculpting, toning and fat-burning workouts Perform kettlebell swings, presses, goblet squats and more
Quality Construction

Durable cast iron construction Ergonomic handle accommodates two hands for swings
Additional Details

Kettlebell Weight: 12 KG (26.5 lbs.)",2/20/2022 12:42
6,7440667680,Kettlebell 15 lbs,10.0, (Chicago city of chicago ),https://chicago.craigslist.org/chc/spo/d/chicago-kettlebell-15-lbs/7440667680.html,craigslist,"['condition: excellent', 'make / manufacturer: Tone Fitness', 'model name / number: Kettlebell', 'size / dimensions: 16.14x11.61x11.42 inches']",41.988431,-87.786361,Tone Fitness 15 lbs Vinyl Kettlebell Grey And Purple In Excellent Condition,2/2/2022 0:14
7,7448740524,Ader Premier Kettlebell Pair 35lb / 16kg,180.0, ( city of chicago ),https://chicago.craigslist.org/chc/spo/d/chicago-ader-premier-kettlebell-pair/7448740524.html,craigslist,"['condition: good', 'make / manufacturer: Ader']",41.8971,-87.6223,"For sale is a pair of used, but in good condition, Ader Premier 35lb (16kg) Kettlebells.  $180 for both.  Cash only, pickup only.  Thanks for looking.",2/20/2022 19:30
8,7448738269,Ader Premier Kettlebell Pair 53lb / 24kg,250.0, ( city of chicago ),https://chicago.craigslist.org/chc/spo/d/chicago-ader-premier-kettlebell-pair/7448738269.html,craigslist,"['condition: good', 'make / manufacturer: Ader']",41.8971,-87.6223,"For sale is a pair of used, but in good condition, Ader Premier 53lb (24kg) Kettlebells.  $250 for both.  Cash only, pickup only.  Thanks for looking.",2/20/2022 19:22
9,7454165052,40 lb kettlebell brand new,40.0, (Orland park south chicagoland ),https://chicago.craigslist.org/sox/spo/d/orland-park-40-lb-kettlebell-brand-new/7454165052.html,craigslist,"['condition: new', 'make / manufacturer: Cap', 'model name / number: Kettlebell', 'size / dimensions: 40 lb']",41.629531,-87.911655,"40 lb kettlebell
Brand new
40.00 
Mike  show contact info


Also other sizes available 
10,15,20,25,30,35,40",2022-03-05 09:36
10,7455041194,16kg (35.8 lb) kettlebell,65.0, (Lincoln Park city of chicago ),https://chicago.craigslist.org/chc/spo/d/chicago-16kg-358-lb-kettlebell/7455041194.html,craigslist,['condition: like new'],41.9028,-87.6372,"Stell kettlebell. Phenomenal for indoor, full body workouts. . I need to clean out a storage unit.",2022-03-07 11:09
11,7456130492,Kettlebell,50.0, (Lincoln Park city of chicago ),https://chicago.craigslist.org/chc/spo/d/chicago-kettlebell/7456130492.html,craigslist,['condition: like new'],41.9027,-87.6371,I have a 16kg (36.8 lb) kettlebell in storage. Doing some spring cleaning.,2022-03-09 15:54
12,7459926901,Kettlebells - Weights - Gym Equipment - Fitness - Kettlebell,580.0, (BOLINGBROOK northwest suburbs ),https://chicago.craigslist.org/nwc/spo/d/bolingbrook-kettlebells-weights-gym/7459926901.html,craigslist,"['condition: new', 'delivery available']",41.6976,-88.0873,Brand new set of kettlebells consisting 5lbs-60lbs in 5lbs increments. Total 390lbs. Under $1.49 per lbs. grab while stock lasts. If you want separate kettlebells it will be $1.75 per lbs. Additional equipment available.,2022-03-18 13:57
13,7460781530,45 lb Kettlebell,60.0, (Darien),https://chicago.craigslist.org/wcl/spo/d/darien-45-lb-kettlebell/7460781530.html,craigslist,"['condition: excellent', 'size / dimensions: 45 lbs.']",41.7434,-87.9805,45 lb Kettlebell. In great condition.,2022-03-20 16:18
14,7463384620,Cap 30 lb kettlebell cast iron brand new,25.0, (Orland park),https://chicago.craigslist.org/sox/spo/d/orland-park-cap-30-lb-kettlebell-cast/7463384620.html,craigslist,"['condition: new', 'make / manufacturer: Cap', 'model name / number: 30 lb', 'size / dimensions: Kettlebell']",41.6018,-87.8899,"Cap 30 lb cast iron kettlebell
Cast iron brand new 
25.00 each 10 available 
Mike  show contact info",2022-03-26 17:39
15,7464110395,Kettlebell - 53lb (24kg),60.0, (Chicago),https://chicago.craigslist.org/chc/spo/d/chicago-kettlebell-53lb-24kg/7464110395.html,craigslist,['condition: like new'],41.925732,-87.637764,Like new 53lb (24kg) kettlebell w/ green handles.,2022-03-28 15:28
16,7466416606,15 lb Kettlebell,20.0, (Old town),https://chicago.craigslist.org/chc/spo/d/chicago-15-lb-kettlebell/7466416606.html,craigslist,"['condition: like new', 'make / manufacturer: CAP']",41.904032,-87.628653,"15 lb kettlebell, hardly used, <1 year old. Plastic coated. Accepting cash or Venmo.",2022-04-03 09:51
17,7468790371,Amazon Basics Vinyl Coated Cast Iron Kettlebell Weight,20.0, (Jefferson Park),https://chicago.craigslist.org/chc/spo/d/chicago-amazon-basics-vinyl-coated-cast/7468790371.html,craigslist,"['condition: like new', 'make / manufacturer: Amazon', 'model name / number: KettleBell', 'size / dimensions: 25#']",41.960131,-87.776959,"Amazon Basics Vinyl Coated Cast Iron Kettlebell Weight

never used.. has little wear on the handle just from being moved around the house. Sells for $38 at Amazon.

 Reply to the ad to arrange a day/time to come look at items. I'm available most anytime.

Click ""more ads by this user"" I'm selling a variety of misc. items, antiques, furniture (new + old), Clothing, Kitchenware, Collectibles, etc.... listing more items often.",2022-04-08 16:14
18,7469399339,80 lb American Barbell kettlebell - brand new,120.0, (northwest suburbs),https://chicago.craigslist.org/nwc/spo/d/hoffman-estates-80-lb-american-barbell/7469399339.html,craigslist,"['condition: new', 'make / manufacturer: American barbell', 'size / dimensions: 80 lb / 36 kg']",42.056884,-88.112068,Brand new cast iron american barbell kettlebell. 80 lb. Brand new this kettlebell is $130 + $55.50 shipping and tax. I am looking to get $120.,2022-04-10 08:31
19,7471430912,70lb Kettlebell and 26lb Kettlebell,30.0," (Pilsen, Chicago)",https://chicago.craigslist.org/chc/spo/d/chicago-70lb-kettlebell-and-26lb/7471430912.html,craigslist,['condition: good'],41.8515,-87.6694,"$20 for 70lb
$10 for 26lb

Used rarely",2022-04-14 19:24
20,7473648485,Ader Premier Kettlebell Pair 53lb / 24kg,210.0, (city of chicago),https://chicago.craigslist.org/chc/spo/d/chicago-ader-premier-kettlebell-pair/7473648485.html,craigslist,"['condition: good', 'make / manufacturer: Ader']",41.8971,-87.6223,"For sale is a pair of used, but in good condition, Ader Premier 53lb (24kg) Kettlebells.  $210 for both.  Cash only, pickup only.  Thanks for looking.",2022-04-20 11:46
21,7473648280,Ader Premier Kettlebell Pair 35lb / 16kg,150.0, (city of chicago),https://chicago.craigslist.org/chc/spo/d/chicago-ader-premier-kettlebell-pair/7473648280.html,craigslist,"['condition: good', 'make / manufacturer: Ader']",41.8971,-87.6223,"For sale is a pair of used, but in good condition, Ader Premier 35lb (16kg) Kettlebells.  $150 for both.  Cash only, pickup only.  Thanks for looking.",2022-04-20 11:45
22,7475273178,10 pound kettlebell,10.0, (Wheaton),https://chicago.craigslist.org/wcl/spo/d/wheaton-10-pound-kettlebell/7475273178.html,craigslist,,41.834793,-88.101992,10 pound kettlebell.  Great condition.  Smoke free home.,2022-04-24 10:18
23,7475272077,15 pound kettlebell,15.0, (Wheaton),https://chicago.craigslist.org/wcl/wan/d/wheaton-15-pound-kettlebell/7475272077.html,craigslist,,41.834793,-88.101992,15 pound kettlebell.  Great condition.  Smoke free home.,2022-04-24 10:15
24,7479332576,35 lb Kettlebell,30.0, (Park Forest),https://chicago.craigslist.org/sox/spo/d/university-park-35-lb-kettlebell/7479332576.html,craigslist,,41.479,-87.6828,"35lb kettlebell willing to trade for set of 5, 10, 15 lb kettlebells",2022-05-04 07:56
25,7480494846,15 lb Kettlebell,20.0, (Old town),https://chicago.craigslist.org/chc/spo/d/chicago-15-lb-kettlebell/7480494846.html,craigslist,"['condition: like new', 'make / manufacturer: CAP']",41.904032,-87.628653,"15 lb kettlebell, hardly used, <1 year old. Plastic coated. Accepting cash or Venmo.",2022-05-06 19:17
26,7482456528,kettlebell new,40.0, (chicago),https://chicago.craigslist.org/chc/spo/d/chicago-kettlebell-new/7482456528.html,craigslist,['condition: new'],41.9399,-87.6528,new cash only,2022-05-11 15:43
27,7483450395,25LBS KettleBell,25.0, (Chicago),https://chicago.craigslist.org/chc/spo/d/chicago-25lbs-kettlebell/7483450395.html,craigslist,,41.9125,-87.688,25 pound kettlebell. Barely used.,2022-05-13 22:09
28,7485181026,Kettlebell Kings Competition 32kg/70lb,150.0, (Humboldt),https://chicago.craigslist.org/chc/spo/d/chicago-kettlebell-kings-competition/7485181026.html,craigslist,"['condition: excellent', 'make / manufacturer: Kettlebell Kings', 'model name / number: Competition', 'size / dimensions: 70lbs']",41.902832,-87.709255,"70lb Competition style Kettle bell from Kettlebell Kings. Lightly used, bought during height of pandemic. Retails for $209. Great for Snatches, Cleans, Strict presses. $150. Would also be interested in trading for a normal, powder/matte coat 28kg/65lb plus $50 or 32kg/70lb plus $25.",2022-05-18 09:08
29,7489694365,"bench, Dumbbells and Kettlebell",100.0, (Joliet),https://chicago.craigslist.org/sox/spo/d/joliet-bench-dumbbells-and-kettlebell/7489694365.html,craigslist,,41.5329,-88.14,"Fitness Gear utility bench 
Flat, decline, incline
Ab roller
20 pound Kettlebell 
Dumbbells With 40 pounds total




Olympic Weights gym exercise workout fitness dumbbells bench bar weight",2022-05-29 07:38
30,7490771645,"Kettlebell set, 10, 15, 20lbs",45.0, (Naperville),https://chicago.craigslist.org/wcl/spo/d/naperville-kettlebell-set-lbs/7490771645.html,craigslist,"['condition: like new', 'make / manufacturer: Tone Fitness']",41.693603,-88.194294,"Kettlebell body trainer set, vinyl coated 10, 15, 20 lbs, excellent condition, from a smoke free and pet free home. $45 cash",2022-05-31 21:20
31,7492479073,Kettlebell Weights,15.0, (Hyde Park),https://chicago.craigslist.org/chc/hsh/d/chicago-kettlebell-weights/7492479073.html,craigslist,['condition: excellent'],41.8022,-87.6006,"Two exercise kettlebells:

#1 weight: 20kg / 44lb, price: $30
#2 weight: 11.3kg / 25lb, price: $15

Can be purchased individually, but I will prioritize buyers who are interested in both kettlebells.

Available by pick-up only from Hyde Park from now until end of June.",2022-06-04 22:16
32,7493153791,Tone Fitness 15lb Kettlebell,15.0, (rogers park),https://chicago.craigslist.org/chc/for/d/chicago-tone-fitness-15lb-kettlebell/7493153791.html,craigslist,,42.0095,-87.6689,Orange Tone Fitness 15lb kettlebell. great condition. retails for at least $20.,2022-06-06 15:48
33,7496963391,12kg russian kettlebell,45.0, (Wheeling),https://chicago.craigslist.org/nch/spo/d/prospect-heights-12kg-russian-kettlebell/7496963391.html,craigslist,,42.1058,-87.9395,In very good condition,2022-06-15 14:32
34,7496962615,A.   16kg russian kettlebell,55.0, (Wheeling),https://chicago.craigslist.org/nch/spo/d/prospect-heights-16kg-russian-kettlebell/7496962615.html,craigslist,,42.1058,-87.9395,Very good condition,2022-06-15 14:31
35,7496961386,I 20kg russian kettlebell,65.0, (Wheeling),https://chicago.craigslist.org/nch/spo/d/prospect-heights-20kg-russian-kettlebell/7496961386.html,craigslist,['delivery available'],42.1058,-87.9395,In very good condition,2022-06-15 14:28
36,7499770135,53lb Skull Kettlebell (~24kg),125.0, (Lincoln Park),https://chicago.craigslist.org/chc/spo/d/chicago-53lb-skull-kettlebell-24kg/7499770135.html,craigslist,"['condition: excellent', 'size / dimensions: 53 lbs']",41.935432,-87.654154,"53lb Skull Kettlebell - minor damage to the paint on the handle, but otherwise in perfect condition.
Pickup Only
Cash Only
Price is Final
I'm near the Wellington CTA Brown line stop.",2022-06-22 11:27
37,7505190117,8 KG Kettlebell,40.0," (Evanston, IL)",https://chicago.craigslist.org/nch/spo/d/evanston-kg-kettlebell/7505190117.html,craigslist,['condition: good'],42.0302,-87.6865,Color: Hot Pink,2022-07-05 18:36
38,7505190692,12 KG Kettlebell,50.0," (Evanston, IL)",https://chicago.craigslist.org/nch/spo/d/evanston-12-kg-kettlebell/7505190692.html,craigslist,,42.0302,-87.6865,Color: Hot Pink,2022-07-05 18:37
39,7506500456,Bowflex 840 Kettlebell,115.0, (Bucktown),https://chicago.craigslist.org/chc/for/d/chicago-bowflex-840-kettlebell/7506500456.html,craigslist,"['condition: like new', 'make / manufacturer: Bowflex', 'model name / number: SelectTech 840']",41.9075,-87.6734,"Bowflex SelectTech 840 adjustable weight Kettlebell. Adjusts from 8 - 40 lbs.

Will be sanitized prior to sale.",2022-07-08 18:33
40,7506570263,Ader Premier Kettlebell 62lb / 28kg,125.0, (city of chicago),https://chicago.craigslist.org/chc/spo/d/chicago-ader-premier-kettlebell-62lb/7506570263.html,craigslist,,41.8971,-87.6223,"For sale is a used, but in good condition, Ader Premier 62lb (28kg) Kettlebell. $125 cash only, pickup only. Thanks for looking.",2022-07-08 22:59
41,7506566057,Ader Premier Kettlebell Pair 53lb / 24kg,210.0, (city of chicago),https://chicago.craigslist.org/chc/spo/d/chicago-ader-premier-kettlebell-pair/7506566057.html,craigslist,"['condition: good', 'make / manufacturer: Ader']",41.8971,-87.6223,"For sale is a pair of used, but in good condition, Ader Premier 53lb (24kg) Kettlebells.  $210 for both.  Cash only, pickup only.  Thanks for looking.",2022-07-08 22:34
42,7506565938,Ader Premier Kettlebell Pair 35lb / 16kg,150.0, (city of chicago),https://chicago.craigslist.org/chc/spo/d/chicago-ader-premier-kettlebell-pair/7506565938.html,craigslist,"['condition: good', 'make / manufacturer: Ader']",41.8971,-87.6223,"For sale is a pair of used, but in good condition, Ader Premier 35lb (16kg) Kettlebells.  $150 for both.  Cash only, pickup only.  Thanks for looking.",2022-07-08 22:33
43,7538159993,Ader Premier Kettlebell Pair 35lb / 16kg,140.0, (city of chicago),https://chicago.craigslist.org/chc/spo/d/chicago-ader-premier-kettlebell-pair/7538159993.html,craigslist,"['condition: good', 'make / manufacturer: Ader']",41.8971,-87.6223,"For sale is a pair of used, but in good condition, Ader Premier 35lb (16kg) Kettlebells. $140 for both. Cash only, pickup only. Thanks for looking.",2022-09-25 11:05
44,7538159407,Ader Premier Kettlebell Pair 53lb / 24kg,190.0, (city of chicago),https://chicago.craigslist.org/chc/spo/d/chicago-ader-premier-kettlebell-pair/7538159407.html,craigslist,"['condition: good', 'make / manufacturer: Ader']",41.8971,-87.6223,"For sale is a pair of used, but in good condition, Ader Premier 53lb (24kg) Kettlebells. $190 for both. Cash only, pickup only. Thanks for looking.",2022-09-25 11:04
45,7537832426,Ader Premier Kettlebell Pair 62lb / 28kg,230.0, (city of chicago),https://chicago.craigslist.org/chc/atq/d/chicago-ader-premier-kettlebell-pair/7537832426.html,craigslist,"['condition: good', 'make / manufacturer: Ader']",41.8971,-87.6223,"For sale is a pair of used, but in good condition, Ader Premier 62lb (28kg) Kettlebells. $230 for both. Cash only, pickup only. Thanks for looking.",2022-09-24 12:02
46,7533586106,70 lb Ader Kettlebell,150.0, (Lincoln Park),https://chicago.craigslist.org/chc/spo/d/chicago-70-lb-ader-kettlebell/7533586106.html,craigslist,"['condition: good', 'make / manufacturer: Ader', 'model name / number: Red Competition Kettlebell']",41.9229,-87.6483,"I am selling a 70 lb Ader competition Kettlebell. The bottom was damaged by water (only paint was affected). I am buying a new one to replace this one. New, this kettlebell retails for $250: https://store.kettlebellinc.com/ProductDetails.asp?ProductCode=11232ISA. I am asking $150 or best offer. Available for drop-off if within 10 min drive.",2022-09-13 20:27
47,7531314790,45 Lb Iron Kettlebell New,50.0, (Portage),https://chicago.craigslist.org/nwi/spo/d/portage-45-lb-iron-kettlebell-new/7531314790.html,craigslist,,41.591,-87.174,There is just 1 kettlebell. Pick up in Portage.,2022-09-08 09:10
48,7535419293,Ironmaster Quicklock Adjustable Kettlebell,250.0, (Skokie),https://chicago.craigslist.org/nch/spo/d/skokie-ironmaster-quicklock-adjustable/7535419293.html,craigslist,,42.0366,-87.7538,"I'm not sure how much they charge for shipping and taxes but I think it would cost about 325-350 New. And their stock is often sold out..

I thought I would use it more but all I use it for is kettlebell swings at max weight. I don't really like other kettlebell exercises",2022-09-18 13:56
